Epoch, train Loss, test loss
1, 1.3374, 1.6042
20, 0.4408, 0.1003
40, 0.1042, 0.0736
60, 0.0789, 0.0564
80, 0.0630, 0.0388
100, 0.0563, 0.0302
120, 0.0529, 0.0330
140, 0.0457, 0.0297
160, 0.0555, 0.0333
180, 0.0519, 0.0306
200, 0.0563, 0.0329
220, 0.0524, 0.0340
240, 0.0510, 0.0316
260, 0.0485, 0.0321
280, 0.0550, 0.0337
300, 0.0526, 0.0316
320, 0.0515, 0.0324
340, 0.0533, 0.0307
360, 0.0482, 0.0309
380, 0.0492, 0.0321
400, 0.0512, 0.0330
420, 0.0533, 0.0325
440, 0.0484, 0.0304
460, 0.0485, 0.0297
480, 0.0527, 0.0333
500, 0.0512, 0.0310
520, 0.0523, 0.0321
540, 0.0529, 0.0337
