Epoch, train Loss, test loss
1, 0.9154, 1.1282
20, 0.3459, 0.1031
40, 0.0966, 0.0718
60, 0.0808, 0.0613
80, 0.0677, 0.0482
100, 0.0625, 0.0366
120, 0.0565, 0.0329
140, 0.0484, 0.0308
160, 0.0562, 0.0324
180, 0.0524, 0.0311
200, 0.0565, 0.0322
220, 0.0523, 0.0334
240, 0.0509, 0.0315
260, 0.0484, 0.0321
280, 0.0549, 0.0330
300, 0.0526, 0.0320
320, 0.0513, 0.0320
340, 0.0532, 0.0314
360, 0.0482, 0.0306
380, 0.0491, 0.0317
400, 0.0511, 0.0332
420, 0.0534, 0.0325
440, 0.0482, 0.0307
460, 0.0484, 0.0298
480, 0.0526, 0.0328
500, 0.0512, 0.0316
520, 0.0523, 0.0310
540, 0.0529, 0.0341
